"id","dept","muni","mpios"
"465","ANTIOQUIA","MONTEBELLO","05467"
"466","ANTIOQUIA","FREDONIA","05282"
"467","BOYACA","SANTA ROSA DE VITERBO","15693"
"468","ANTIOQUIA","SAN FRANCISCO","05652"
"469","BOYACA","BETEITIVA","15092"
"470","BOYACA","TOGUI","15816"
"471","BOYACA","MONIQUIRA","15469"
"472","ANTIOQUIA","TARSO","05792"
"473","BOYACA","TASCO","15790"
"474","ANTIOQUIA","CIUDAD BOLIVAR","05101"
"475","SANTANDER","PUENTE NACIONAL","68572"
"476","ANTIOQUIA","ABEJORRAL","05002"
"477","ANTIOQUIA","SONSON","05756"
"478","SANTANDER","JESUS MARIA","68368"
"479","BOYACA","FLORESTA","15276"
"480","BOYACA","OTANCHE","15507"
"481","ANTIOQUIA","PUEBLORRICO","05576"
"482","ANTIOQUIA","JERICO","05368"
"483","SANTANDER","FLORIAN","68271"
"484","SANTANDER","ALBANIA","68020"
"485","BOYACA","CORRALES","15215"
"486","BOYACA","SOTAQUIRA","15763"
"487","BOYACA","BUSBANZA","15114"
"488","BOYACA","PISBA","15550"
"489","ANTIOQUIA","LA PINTADA","05390"
"490","BOYACA","ARCABUCO","15051"
"491","CUNDINAMARCA","YACOPI","25885"
"492","BOYACA","GAMEZA","15296"
"493","CASANARE","PORE","85263"
"494","ANTIOQUIA","HISPANIA","05353"
"495","BOYACA","PAYA","15533"
"496","BOYACA","PAUNA","15531"
"497","ANTIOQUIA","TAMESIS","05789"
"498","ANTIOQUIA","BETANIA","05091"
"499","BOYACA","GACHANTIVA","15293"
"500","BOYACA","COMBITA","15204"
"501","BOYACA","NOBSA","15491"
"502","BOYACA","TIBASOSA","15806"
"503","CUNDINAMARCA","PUERTO SALGAR","25572"
"504","BOYACA","SANTA SOFIA","15696"
"505","BOYACA","TOPAGA","15820"
"506","BOYACA","SABOYA","15632"
"507","ANTIOQUIA","ANDES","05034"
"508","ANTIOQUIA","ARGELIA","05055"
"509","BOYACA","SAN PABLO DE BORBUR","15681"
"510","BOYACA","MONGUA","15464"
"511","BOYACA","SOGAMOSO","15759"
"512","ANTIOQUIA","VALPARAISO","05856"
"513","CHOCO","LLORO","27413"
"514","CALDAS","AGUADAS","17013"
"515","BOYACA","TUNUNGUA","15832"
"516","BOYACA","MONGUI","15466"
"517","BOYACA","CHIQUINQUIRA","15176"
"518","BOYACA","BRICEO","15106"
"519","BOYACA","TUTA","15837"
"520","CASANARE","NUNCHIA","85225"
"521","BOYACA","VILLA DE LEYVA","15407"
"522","BOYACA","FIRAVITOBA","15272"
"523","BOYACA","SUTAMARCHAN","15776"
"524","BOYACA","MOTAVITA","15476"
"525","ANTIOQUIA","JARDIN","05364"
"526","ANTIOQUIA","NARIO","05483"
"527","BOYACA","LABRANZAGRANDE","15377"
"528","BOYACA","CHIQUIZA","15232"
"529","CHOCO","BAGADO","27073"
"530","BOYACA","MARIPI","15442"
"531","BOYACA","QUIPAMA","15580"
"532","BOYACA","OICATA","15500"
"533","BOYACA","AQUITANIA","15047"
"534","BOYACA","IZA","15362"
"535","BOYACA","TOCA","15814"
"536","BOYACA","SORA","15762"
"537","BOYACA","TUNJA","15001"
"538","BOYACA","TINJACA","15808"
