ID_ESPACIA,AREA_OFICI,ENTIDAD_TE,NOM_DEPART,NOM_MUNICI,COD_DEPTO,R0
68190,2847,Cabecera Municipal,SANTANDER,CIMITARRA,68,1.564389575
68101,1491,Cabecera Municipal,SANTANDER,BOLVAR,68,0.865840117
68250,415,Cabecera Municipal,SANTANDER,EL PEN,68,0.18384448
68385,626,Cabecera Municipal,SANTANDER,LANDZURI,68,0.270191416
68377,259,Cabecera Municipal,SANTANDER,LA BELLEZA,68,0.198405382
68271,191,Cabecera Municipal,SANTANDER,FLORIN,68,0.019385958
68020,156,Cabecera Municipal,SANTANDER,ALBANIA,68,3.07E-05
68368,109,Cabecera Municipal,SANTANDER,JESS MARA,68,1.22E-05
68773,609,Cabecera Municipal,SANTANDER,SUCRE,68,0.173730073
68324,72,Cabecera Municipal,SANTANDER,GUAVAT,68,2.56E-05
68861,452,Cabecera Municipal,SANTANDER,VLEZ,68,0.13397177
68327,27,Cabecera Municipal,SANTANDER,GEPSA,68,0.012748459
68013,41,Cabecera Municipal,SANTANDER,AGUADA,68,0.013082635
68397,241,Cabecera Municipal,SANTANDER,LA PAZ,68,0.03286638
68673,50,Cabecera Municipal,SANTANDER,SAN BENITO,68,0.018690235
68770,296,Cabecera Municipal,SANTANDER,SUAITA,68,0.004209555
68245,122,Cabecera Municipal,SANTANDER,EL GUACAMAYO,68,0.010768387
68320,144,Cabecera Municipal,SANTANDER,GUADALUPE,68,0.025148958
68211,117,Cabecera Municipal,SANTANDER,CONTRATACIN,68,0.000272866
68720,362,Cabecera Municipal,SANTANDER,SANTA HELENA DEL OPN,68,0.200667416
68176,152,Cabecera Municipal,SANTANDER,CHIMA,68,0.022237038
68500,285,Cabecera Municipal,SANTANDER,OIBA,68,0.002989413
68524,62,Cabecera Municipal,SANTANDER,PALMAS DEL SOCORRO,68,0.132974807
68872,113,Cabecera Municipal,SANTANDER,VILLANUEVA,68,0.183984411
68298,519,Cabecera Municipal,SANTANDER,GMBITA,68,7.91E-05
68264,418,Cabecera Municipal,SANTANDER,ENCINO,68,1.09E-05
68167,411,Cabecera Municipal,SANTANDER,CHARAL,68,0.002304888
68572,273,Cabecera Municipal,SANTANDER,PUENTE NACIONAL,68,4.66E-05
68077,57,Cabecera Municipal,SANTANDER,BARBOSA,68,0.000194168
15332,917,Cabecera Municipal,BOYAC,GICN,15,2.23E-07
15244,191,Cabecera Municipal,BOYAC,EL COCUY,15,0
15673,132,Cabecera Municipal,BOYAC,SAN MATEO,15,4.60E-05
15097,146,Cabecera Municipal,BOYAC,BOAVITA,15,0.000167132
15403,177,Cabecera Municipal,BOYAC,LA UVITA,15,3.78E-07
15183,614,Cabecera Municipal,BOYAC,CHITA,15,1.85E-05
15774,193,Cabecera Municipal,BOYAC,SUSACN,15,5.90E-05
15720,162,Cabecera Municipal,BOYAC,SATIVANORTE,15,3.88E-09
15368,117,Cabecera Municipal,BOYAC,JERIC,15,1.12E-05
15755,617,Cabecera Municipal,BOYAC,SOCOT,15,1.69E-05
15757,163,Cabecera Municipal,BOYAC,SOCHA,15,1.08E-08
15533,584,Cabecera Municipal,BOYAC,PAYA,15,0.105861713
15550,298,Cabecera Municipal,BOYAC,PISVA,15,0.008812666
15377,686,Cabecera Municipal,BOYAC,LABRANZAGRANDE,15,0.007371068
15518,322,Cabecera Municipal,BOYAC,PAJARITO,15,0.006543615
15047,876,Cabecera Municipal,BOYAC,AQUITANIA,15,4.61E-05
15362,34,Cabecera Municipal,BOYAC,IZA,15,1.92E-12
15759,214,Cabecera Municipal,BOYAC,SOGAMOSO,15,2.42E-09
15464,354,Cabecera Municipal,BOYAC,MONGUA,15,0.000300342
15296,117,Cabecera Municipal,BOYAC,GMEZA,15,1.20E-14
15215,59,Cabecera Municipal,BOYAC,CORRALES,15,8.20E-10
15114,25,Cabecera Municipal,BOYAC,BUSBANZ,15,5.42E-10
15693,107,Cabecera Municipal,BOYAC,SANTA ROSA DE VITERBO,15,6.07E-10
15790,210,Cabecera Municipal,BOYAC,TASCO,15,9.08E-13
15092,124,Cabecera Municipal,BOYAC,BETITIVA,15,5.36E-10
15087,143,Cabecera Municipal,BOYAC,BELN,15,3.17E-12
15537,117,Cabecera Municipal,BOYAC,PAZ DE RIO,15,4.13E-11
15238,229,Cabecera Municipal,BOYAC,DUITAMA,15,2.97E-10
15806,95,Cabecera Municipal,BOYAC,TIBASOSA,15,2.79E-09
15516,395,Cabecera Municipal,BOYAC,PAIPA,15,2.48E-09
15763,286,Cabecera Municipal,BOYAC,SOTAQUIR,15,7.02E-11
15837,165,Cabecera Municipal,BOYAC,TUTA,15,1.03E-10
15204,149,Cabecera Municipal,BOYAC,CMBITA,15,5.12E-12
15494,50,Cabecera Municipal,BOYAC,NUEVO COLN,15,2.06E-09
15090,67,Cabecera Municipal,BOYAC,BERBEO,15,0.000577137
15660,106,Cabecera Municipal,BOYAC,SAN EDUARDO,15,1.99E-05
15455,265,Cabecera Municipal,BOYAC,MIRAFLORES,15,0.000910375
15514,326,Cabecera Municipal,BOYAC,PEZ,15,0.019335471
15135,302,Cabecera Municipal,BOYAC,CAMPOHERMOSO,15,0.026068627
15667,247,Cabecera Municipal,BOYAC,SAN LUIS DE GACENO,15,0.335409399
15690,532,Cabecera Municipal,BOYAC,SANTA MARA,15,0.136801273
15236,111,Cabecera Municipal,BOYAC,CHIVOR,15,0.001985265
15325,81,Cabecera Municipal,BOYAC,GUAYAT,15,0.000209947
15322,37,Cabecera Municipal,BOYAC,GUATEQUE,15,0.000254083
15778,41,Cabecera Municipal,BOYAC,SUTATENZA,15,0.000994531
15380,54,Cabecera Municipal,BOYAC,LA CAPILLA,15,1.66E-05
15299,210,Cabecera Municipal,BOYAC,GARAGOA,15,5.57E-05
15511,67,Cabecera Municipal,BOYAC,PACHAVITA,15,0.000191403
15842,130,Cabecera Municipal,BOYAC,MBITA,15,2.47E-08
15835,80,Cabecera Municipal,BOYAC,TURMEQU,15,3.41E-08
15861,151,Cabecera Municipal,BOYAC,VENTAQUEMADA,15,1.17E-11
15646,150,Cabecera Municipal,BOYAC,SAMAC,15,3.03E-11
15407,121,Cabecera Municipal,BOYAC,VILLA DE LEIVA,15,2.31E-06
15676,70,Cabecera Municipal,BOYAC,SAN MIGUEL DE SEMA,15,1.53E-09
15600,233,Cabecera Municipal,BOYAC,RQUIRA,15,5.24E-08
15638,61,Cabecera Municipal,BOYAC,SCHICA,15,8.21E-07
15808,90,Cabecera Municipal,BOYAC,TINJAC,15,5.71E-07
15776,103,Cabecera Municipal,BOYAC,SUTAMARCHN,15,9.64E-07
15176,171,Cabecera Municipal,BOYAC,CHIQUINQUIR,15,4.76E-10
